departamento,lat,lon
AMAZONAS,-5.0684,-78.0534
ANCASH,-9.4076,-77.6699
APURIMAC,-14.0291,-72.9758
AREQUIPA,-15.8426,-72.474
AYACUCHO,-14.0881,-74.0848
CAJAMARCA,-6.4286,-78.7448
CALLAO,-11.9424,-77.1257
CUSCO,-13.1872,-72.1689
HUANCAVELICA,-13.0241,-75.0029
HUANUCO,-9.417,-76.0341
ICA,-14.2317,-75.5757
JUNIN,-11.5403,-74.8775
LA LIBERTAD,-7.9212,-78.3708
LAMBAYEQUE,-6.3532,-79.8222
LIMA,-11.7863,-76.6277
LORETO,-4.1206,-74.4266
MADRE DE DIOS,-11.981,-70.5338
MOQUEGUA,-16.8601,-70.8389
PASCO,-10.3976,-75.3015
PIURA,-5.1326,-80.3345
PUNO,-14.9301,-69.9506
SAN MARTIN,-7.036,-76.7168
TACNA,-17.6446,-70.2768
TUMBES,-3.8557,-80.5463
UCAYALI,-9.6193,-73.4358
