ubigeo,neighbor_ubigeo
010101,010108
010101,010111
010101,010118
010101,010120
010101,010121
010101,010504
010101,010506
010101,010508
010101,010509
010102,010105
010102,010116
010102,010117
010102,010301
010102,010302
010102,010308
010103,010106
010103,010110
010103,010503
010103,010517
010103,060301
010103,060311
010104,010114
010104,010118
010104,010120
010104,010603
010104,010606
010105,010102
010105,010117
010105,010121
010105,010301
010105,010311
010106,010103
010106,010110
010106,060305
010106,060308
010106,060311
010106,130304
010106,130305
010107,010114
010107,010116
010107,010117
010107,010612
010107,220802
010107,220805
010108,010101
010108,010121
010108,010311
010108,010501
010108,010509
010109,010112
010109,010113
010109,010519
010109,010521
010109,010603
010109,010605
010110,010103
010110,010106
010110,010115
010110,010503
010110,010517
010110,130305
010110,220603
010111,010101
010111,010112
010111,010119
010111,010120
010111,010504
010111,010522
010112,010109
010112,010111
010112,010119
010112,010519
010112,010522
010112,010603
010113,010109
010113,010115
010113,010517
010113,010521
010113,010605
010114,010104
010114,010107
010114,010117
010114,010118
010114,010120
010114,010121
010114,010603
010114,010606
010114,010607
010114,010612
010115,010110
010115,010113
010115,010517
010115,010605
010115,220603
010116,010102
010116,010107
010116,010117
010116,010302
010116,010308
010116,220805
010117,010102
010117,010105
010117,010107
010117,010114
010117,010116
010117,010121
010118,010101
010118,010104
010118,010114
010118,010120
010118,010121
010119,010111
010119,010112
010119,010120
010119,010603
010120,010101
010120,010104
010120,010111
010120,010114
010120,010118
010120,010119
010120,010603
010121,010101
010121,010105
010121,010108
010121,010114
010121,010117
010121,010118
010121,010301
010121,010311
010201,010202
010201,010203
010201,010206
010201,010701
010201,010704
010201,060802
010201,060812
010202,010201
010202,010203
010202,010205
010202,010206
010202,010702
010202,060812
010202,060903
010203,010201
010203,010202
010203,010206
010203,010701
010203,010702
010205,010202
010205,010401
010205,010402
010205,010702
010205,060903
010206,010201
010206,010202
010206,010203
010301,010102
010301,010105
010301,010121
010301,010302
010301,010304
010301,010305
010301,010306
010301,010308
010301,010309
010301,010311
010302,010102
010302,010116
010302,010301
010302,010304
010302,010308
010302,220805
010303,010309
010303,010311
010303,010516
010303,010518
010304,010301
010304,010302
010304,010306
010304,010312
010304,220805
010305,010301
010305,010306
010305,010307
010305,010309
010305,010310
010306,010301
010306,010304
010306,010305
010306,010310
010306,010312
010306,010702
010307,010305
010307,010309
010307,010310
010307,010518
010308,010102
010308,010116
010308,010301
010308,010302
010309,010301
010309,010303
010309,010305
010309,010307
010309,010311
010309,010518
010310,010305
010310,010306
010310,010307
010310,010518
010310,010702
010310,010705
010311,010105
010311,010108
010311,010121
010311,010301
010311,010303
010311,010309
010311,010501
010311,010516
010311,010518
010312,010304
010312,010306
010312,010401
010312,010702
010312,160701
010312,160703
010312,220101
010312,220805
010401,010205
010401,010312
010401,010402
010401,010403
010401,010702
010401,160703
010402,010205
010402,010401
010402,010403
010403,010401
010403,010402
010403,160703
010403,160704
010501,010108
010501,010311
010501,010509
010501,010516
010502,010505
010502,010512
010502,010515
010502,010706
010502,060405
010502,060414
010503,010103
010503,010110
010503,010511
010503,010514
010503,010517
010503,010521
010503,060301
010503,060302
010504,010101
010504,010111
010504,010506
010504,010507
010504,010513
010504,010514
010504,010522
010505,010502
010505,010508
010505,010510
010505,010512
010505,010520
010505,010705
010505,010706
010506,010101
010506,010504
010506,010508
010506,010512
010506,010513
010507,010504
010507,010511
010507,010513
010507,010514
010507,010522
010508,010101
010508,010505
010508,010506
010508,010509
010508,010510
010508,010512
010509,010101
010509,010108
010509,010501
010509,010508
010509,010510
010509,010516
010509,010520
010510,010505
010510,010508
010510,010509
010510,010520
010511,010503
010511,010507
010511,010514
010511,010519
010511,010521
010511,010522
010512,010502
010512,010505
010512,010506
010512,010508
010512,010513
010512,010515
010513,010504
010513,010506
010513,010507
010513,010512
010513,010514
010513,010515
010513,060303
010513,060406
010514,010503
010514,010504
010514,010507
010514,010511
010514,010513
010514,060302
010514,060303
010515,010502
010515,010512
010515,010513
010515,060405
010515,060406
010516,010303
010516,010311
010516,010501
010516,010509
010516,010518
010516,010520
010517,010103
010517,010110
010517,010113
010517,010115
010517,010503
010517,010521
010518,010303
010518,010307
010518,010309
010518,010310
010518,010311
010518,010516
010518,010520
010518,010705
010519,010109
010519,010112
010519,010511
010519,010521
010519,010522
010520,010505
010520,010509
010520,010510
010520,010516
010520,010518
010520,010705
010521,010109
010521,010113
010521,010503
010521,010511
010521,010517
010521,010519
010522,010111
010522,010112
010522,010504
010522,010507
010522,010511
010522,010519
010601,010604
010601,010606
010601,010607
010601,010609
010601,010610
010601,010612
010602,010605
010602,010608
010602,010609
010602,010611
010602,220603
010603,010104
010603,010109
010603,010112
010603,010114
010603,010119
010603,010120
010603,010604
010603,010605
010603,010606
010604,010601
010604,010603
010604,010605
010604,010606
010604,010610
010604,010611
010605,010109
010605,010113
010605,010115
010605,010602
010605,010603
010605,010604
010605,010611
010605,220603
010606,010104
010606,010114
010606,010601
010606,010603
010606,010604
010606,010607
010607,010114
010607,010601
010607,010606
010607,010612
010608,010602
010608,010609
010608,010610
010608,010611
010609,010601
010609,010602
010609,010608
010609,010610
010609,010612
010609,220402
010609,220603
010610,010601
010610,010604
010610,010608
010610,010609
010610,010611
010611,010602
010611,010604
010611,010605
010611,010608
010611,010610
010612,010107
010612,010114
010612,010601
010612,010607
010612,010609
010612,220105
010612,220402
010612,220801
010612,220802
010612,220803
010612,220804
010612,220808
010701,010201
010701,010203
010701,010702
010701,010703
010701,010704
010701,010705
010701,010706
010701,010707
010702,010202
010702,010203
010702,010205
010702,010306
010702,010310
010702,010312
010702,010401
010702,010701
010702,010705
010703,010701
010703,010704
010703,010707
010703,060603
010703,060613
010703,060615
010703,060802
010704,010201
010704,010701
010704,010703
010704,060802
010705,010310
010705,010505
010705,010518
010705,010520
010705,010701
010705,010702
010705,010706
010706,010502
010706,010505
010706,010701
010706,010705
010706,010707
010706,060414
010706,060604
010707,010701
010707,010703
010707,010706
010707,060604
010707,060613
020101,020105
020101,020107
020101,020108
020101,020111
020101,020201
020101,020204
020101,021004
020101,021008
020101,021701
020102,020110
020102,020804
020102,022002
020102,022007
020103,020107
020103,020109
020103,020110
020103,020111
020104,020107
020104,020109
020104,020202
020104,021103
020105,020101
020105,020106
020105,020111
020105,020112
020105,020608
020105,021001
020105,021008
020106,020105
020106,020111
020106,020112
020106,020611
020107,020101
020107,020103
020107,020104
020107,020109
020107,020111
020107,020202
020107,020204
020108,020101
020108,021004
020108,021701
020108,021710
020109,020103
020109,020104
020109,020107
020109,020110
020109,020801
020109,020804
020109,021103
020110,020102
020110,020103
020110,020109
020110,020111
020110,020601
020110,020604
020110,020611
020110,020804
020110,022007
020111,020101
020111,020103
020111,020105
020111,020106
020111,020107
020111,020110
020111,020604
020111,020611
020112,020105
020112,020106
020112,020607
020112,020608
020112,020611
020201,020101
020201,020202
020201,020203
020201,020204
020201,020205
020201,021105
020201,021701
020201,021702
020201,021703
020201,021710
020202,020104
020202,020107
020202,020201
020202,020203
020202,020204
020202,020205
020202,021101
020202,021103
020202,021104
020203,020201
020203,020202
020203,020205
020204,020101
020204,020107
020204,020201
020204,020202
020205,020201
020205,020202
020205,020203
020205,021104
020205,021105
020301,020303
020301,020304
020301,020305
020301,021010
020301,100401
020301,100404
020302,020304
020302,020306
020302,021002
020302,021003
020302,021005
020302,021011
020302,021016
020303,020301
020303,020305
020303,020702
020303,100401
020303,100404
020304,020301
020304,020302
020304,020305
020304,020306
020304,021010
020304,021016
020305,020301
020305,020303
020305,020304
020305,020306
020305,020702
020305,021003
020306,020302
020306,020304
020306,020305
020306,021003
020401,020402
020401,020601
020401,020606
020401,020609
020401,020701
020401,021001
020401,022008
020402,020401
020402,020609
020402,020701
020402,022008
020501,020502
020501,020504
020501,020505
020501,020509
020501,020511
020501,020513
020501,020515
020501,021702
020502,020501
020502,020506
020502,020511
020502,020514
020502,020515
020503,020505
020503,020507
020503,020510
020503,021704
020503,021705
020503,021706
020503,021708
020504,020501
020504,020508
020504,020509
020504,021004
020504,021014
020504,021702
020505,020501
020505,020503
020505,020510
020505,020515
020505,021401
020505,021403
020505,021702
020505,021706
020505,021707
020506,020502
020506,020511
020506,020512
020506,020514
020506,021403
020507,020503
020507,020510
020507,021101
020507,021406
020507,021409
020507,021705
020507,021708
020507,150202
020508,020504
020508,020509
020508,021014
020508,100301
020508,100313
020508,100317
020508,100501
020508,101002
020508,101004
020508,101005
020509,020501
020509,020504
020509,020508
020509,020513
020509,101004
020510,020503
020510,020505
020510,020507
020510,021401
020510,021406
020511,020501
020511,020502
020511,020506
020511,020512
020511,020513
020512,020506
020512,020511
020512,020513
020512,021403
020512,021404
020512,021407
020512,021408
020512,150302
020512,150304
020513,020501
020513,020509
020513,020511
020513,020512
020513,101001
020513,101004
020513,150302
020514,020502
020514,020506
020514,020515
020514,021403
020515,020501
020515,020502
020515,020505
020515,020514
020515,021403
020601,020110
020601,020401
020601,020604
020601,020605
020601,020606
020601,020609
020601,020610
020601,022007
020603,020609
020603,020610
020603,022003
020604,020110
020604,020111
020604,020601
020604,020606
020604,020607
020604,020611
020605,020601
020605,020610
020605,022003
020605,022007
020606,020401
020606,020601
020606,020604
020606,020607
020606,020608
020606,021001
020607,020112
020607,020604
020607,020606
020607,020608
020607,020611
020608,020105
020608,020112
020608,020606
020608,020607
020608,021001
020609,020401
020609,020402
020609,020601
020609,020603
020609,020610
020609,022001
020609,022003
020609,022008
020610,020601
020610,020603
020610,020605
020610,020609
020610,022003
020611,020106
020611,020110
020611,020111
020611,020112
020611,020604
020611,020607
020701,020401
020701,020402
020701,020702
020701,020703
020701,021001
020701,021003
020701,021306
020701,022008
020702,020303
020702,020305
020702,020701
020702,020703
020702,021003
020702,021303
020702,021305
020702,100402
020702,100404
020703,020701
020703,020702
020703,021305
020703,021306
020703,021307
020703,021308
020703,022008
020801,020109
020801,020802
020801,020803
020801,020804
020801,021103
020801,021805
020801,021806
020801,021807
020802,020801
020802,020804
020802,021805
020802,022005
020803,020801
020803,021807
020804,020102
020804,020109
020804,020110
020804,020801
020804,020802
020804,022002
020804,022005
020901,020902
020901,020903
020901,020905
020901,020906
020901,020907
020901,021501
020901,021507
020901,021511
020902,020901
020902,020904
020902,020906
020902,021501
020903,020901
020903,020907
020903,021507
020903,021510
020903,021804
020904,020902
020904,020905
020904,020906
020904,021210
020904,021501
020904,021503
020904,021904
020904,021908
020904,021909
020905,020901
020905,020904
020905,020906
020905,020907
020905,021202
020905,021210
020905,021804
020906,020901
020906,020902
020906,020904
020906,020905
020907,020901
020907,020903
020907,020905
020907,021804
021001,020105
021001,020401
021001,020606
021001,020608
021001,020701
021001,021003
021001,021007
021001,021008
021001,021009
021001,021014
021002,020302
021002,021005
021002,021006
021002,021010
021002,021016
021002,100510
021003,020302
021003,020305
021003,020306
021003,020701
021003,020702
021003,021001
021003,021007
021003,021009
021003,021011
021004,020101
021004,020108
021004,020504
021004,021008
021004,021014
021004,021702
021004,021710
021005,020302
021005,021002
021005,021011
021005,100506
021005,100510
021006,021002
021006,021010
021006,021013
021006,100403
021006,100502
021006,100510
021007,021001
021007,021003
021007,021008
021007,021009
021007,021011
021007,021012
021007,021014
021007,021015
021008,020101
021008,020105
021008,021001
021008,021004
021008,021007
021008,021014
021009,021001
021009,021003
021009,021007
021009,021011
021009,021012
021010,020301
021010,020304
021010,021002
021010,021006
021010,021016
021010,100401
021010,100403
021011,020302
021011,021003
021011,021005
021011,021007
021011,021009
021011,021012
021011,021015
021011,100506
021012,021007
021012,021009
021012,021011
021013,021006
021013,100502
021013,100503
021013,100505
021013,100510
021013,100511
021014,020504
021014,020508
021014,021001
021014,021004
021014,021007
021014,021008
021014,021015
021014,100501
021015,021007
021015,021011
021015,021014
021015,100501
021015,100506
021015,100509
021016,020302
021016,020304
021016,021002
021016,021010
021101,020202
021101,020507
021101,021102
021101,021103
021101,021104
021101,021105
021101,021708
021101,150202
021102,021101
021102,021105
021102,021703
021102,021708
021103,020104
021103,020109
021103,020202
021103,020801
021103,021101
021104,020202
021104,020205
021104,021101
021104,021105
021105,020201
021105,020205
021105,021101
021105,021102
021105,021104
021105,021703
021201,021203
021201,021205
021201,021206
021201,021207
021201,021208
021201,022001
021201,022008
021202,020905
021202,021204
021202,021208
021202,021209
021202,021210
021202,021804
021203,021201
021203,021205
021203,021206
